file	action	reason
Media/Hauptseite/current-matchposter-portrait.jpg	keep	manual-operational-or-reference-retained
Media/Hauptseite/current-matchposter.jpg	keep	manual-operational-or-reference-retained
Media/Hauptseite/statistik-fun-background.svg	keep	manual-operational-or-reference-retained
Media/Wëllkomm-Mapp/Wëllkomm-Mapp.txt	keep	manual-operational-or-reference-retained
Media/3D Ball real.jpg	archive	unreferenced-after-migration
Media/3D Ball spezial.jpg	archive	unreferenced-after-migration
Media/Banken/Online Banking New.png	archive	unreferenced-after-migration
Media/Comité mat Teppech.png	archive	unreferenced-after-migration
Media/Events.png	archive	unreferenced-after-migration
Media/Final4@2x.png	archive	unreferenced-after-migration
Media/Halen/CentreSportifDifferdange.jpg	archive	unreferenced-after-migration
Media/Halen/Hall Omnisports Krounebierg.jpg	archive	unreferenced-after-migration
Media/Halen/Hall Sportif Niederkorn.jpg	archive	unreferenced-after-migration
Media/Halen/Maison des Sports Siège FLH.jpg	archive	unreferenced-after-migration
Media/Halen/mersch_hall krounebierg.jpg	archive	unreferenced-after-migration
Media/Hauptseite/MatchPoster 24052024.jpg	archive	unreferenced-after-migration
Media/Hauptseite/MatchPoster 240526.jpg	archive	unreferenced-after-migration
Media/Hauptseite/archive/FANshop M75 Portrait Kopie.png	archive	unreferenced-after-migration
Media/Hauptseite/archive/Fanshop M75.jpg	archive	unreferenced-after-migration
Media/Hauptseite/archive/Fanshop1 .webp	archive	unreferenced-after-migration
Media/Hauptseite/archive/matchposter-230526-portrait.jpg	archive	unreferenced-after-migration
Media/Hauptseite/archive/matchposter-230526.jpg	archive	unreferenced-after-migration
Media/Header_Logos_media/Logo-Kidsdays-Menu-Applestyleweiss.png	archive	unreferenced-after-migration
Media/Header_Logos_media/Logo-Menu-Mersch75-Matchkalenner2025.png	archive	unreferenced-after-migration
Media/History Ball.jpg	archive	unreferenced-after-migration
Media/Icons  Wellkommsmapp/Jeff Schuster ohne Dhika.png	archive	unreferenced-after-migration
Media/Icons  Wellkommsmapp/Jeff Schuster ohne Hintergrund.png	archive	unreferenced-after-migration
Media/Inside/Comite-scaled.png	archive	unreferenced-after-migration
Media/Inside/Erennerungen-mp3-image.jpg	archive	unreferenced-after-migration
Media/Inside/Erennerungen.mp3	archive	unreferenced-after-migration
Media/Inside/HBM75-S1-1975.png	archive	unreferenced-after-migration
Media/Inside/Hallenboden.png	archive	unreferenced-after-migration
Media/Inside/In-Memoriamnew.png	archive	unreferenced-after-migration
Media/Inside/Logo-Arbitter_Offizieller.png	archive	unreferenced-after-migration
Media/Inside/Logo-GT-Helperteam.png	archive	unreferenced-after-migration
Media/Inside/Logo-History.jpg	archive	unreferenced-after-migration
Media/Inside/Logo-Menu-Mersch75-M75-CA-2025.psd	archive	unreferenced-after-migration
Media/Inside/Logo-StatutenApplestyle.png	archive	unreferenced-after-migration
Media/Inside/Logo-Trainerstaff-AppleStyle-2025.png	archive	unreferenced-after-migration
Media/Inside/LogoHBM1975.png	archive	unreferenced-after-migration
Media/Inside/Mechelsplatz.png	archive	unreferenced-after-migration
Media/Inside/Mersch75-CA-Applestyle-2025-1-scaled.png	archive	unreferenced-after-migration
Media/Inside/Mersch75-Memories-Applestyle-2025-scaled.png	archive	unreferenced-after-migration
Media/Inside/Mersch75-Memories-Applestyle-2025.psd	archive	unreferenced-after-migration
Media/Inside/Statuten_Mersch75-Handball-Club.pdf	archive	unreferenced-after-migration
Media/Kopie-von-2Logo-Flyer.jpg	archive	unreferenced-after-migration
Media/Logo-Black-PNG.png	archive	unreferenced-after-migration
Media/Logo-Menu-Mersch75-Galerie-Fotos-SBO-Videos-2025-1.png	archive	unreferenced-after-migration
Media/Logo-Menu-Mersch75-M75-CA-2026.png	archive	unreferenced-after-migration
Media/Logo-Trainerstaff-AppleStyle-2025-1.png	archive	unreferenced-after-migration
Media/Logos FLH Eq/Logo-Mersch75-Schrift-mat-Ball-And-Handball-Club-Fusszeile-1.png	archive	unreferenced-after-migration
Media/M75-Handball-als-Sparschwein.png	archive	unreferenced-after-migration
Media/M75-Logo-50-Joer-3-D-1.png	archive	unreferenced-after-migration
Media/M75_De-Ball-an-3D-mat-Schied-1.png	archive	unreferenced-after-migration
Media/M75_De-Ball-an-3D-mat-Schied.png	archive	unreferenced-after-migration
Media/M75_realistesche-3D-Ball-190326-mat-Text2.png	archive	unreferenced-after-migration
Media/M75_realistesche-3D-Ball-op-Mooss.png	archive	unreferenced-after-migration
Media/M75_realistesche-3D-Ball.jpg	archive	unreferenced-after-migration
Media/Matchday-020524.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo FamillMemberskaart 2+384.webp	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75 Famillmemberskaart 384Applestyle 2026.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75 _18 Memberskaart 300.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75 _18 Memberskaart 300.psd	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75 _4_18 Student 210.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75 _4_18 Student 210.psd	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75_4 Loisir_15 10.-.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo Mersch75_4 Loisir_15 10.-.psd	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo ech hëllefe mat memberskaart 0.- 50.-.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/Logo ech hëllefe mat memberskaart 0.- 50.-.psd	archive	unreferenced-after-migration
Media/Memberscard + Icons New/M75_Memberskaart mat Draach recto 16112025.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/M75_Memberskaart verso 16112025.png	archive	unreferenced-after-migration
Media/Memberscard + Icons New/MF Handballer.png	archive	unreferenced-after-migration
Media/Mersch75-Aeren-Don-Applestyle-2025-Kopie-3-scaled.png	archive	unreferenced-after-migration
Media/Mersch75_Matchday-19042026-scaled.png	archive	unreferenced-after-migration
Media/Mersch75_Matchday_4K-11-scaled.png	archive	unreferenced-after-migration
Media/Mersch75_Matchday_4K-26-scaled.png	archive	unreferenced-after-migration
Media/Mersch75_Matchday_4K-31-scaled.jpg	archive	unreferenced-after-migration
Media/NEXTGEN/Vector Handball terrain Sponsoren.png	archive	unreferenced-after-migration
Media/Poster-Matchday-Hintergrund-30001300-scaled.png	archive	unreferenced-after-migration
Media/Poster-Matchday-Hintergrund-31411571-scaled.png	archive	unreferenced-after-migration
Media/Sponsoring/Boissons-Heintz.png	archive	unreferenced-after-migration
Media/Sponsoring/COFT_Logo.pdf	archive	unreferenced-after-migration
Media/Sponsoring/COFT_Logo.webp	archive	unreferenced-after-migration
Media/Sponsoring/Dolcevita-06122020.png	archive	unreferenced-after-migration
Media/Sponsoring/EWA.png	archive	unreferenced-after-migration
Media/Sponsoring/Electro-Center.png	archive	unreferenced-after-migration
Media/Sponsoring/Erasmy-2.png	archive	unreferenced-after-migration
Media/Sponsoring/Houseconcept-1.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Houseconcept.jpg	archive	unreferenced-after-migration
Media/Sponsoring/IFA.png	archive	unreferenced-after-migration
Media/Sponsoring/Intersport-logo.png	archive	unreferenced-after-migration
Media/Sponsoring/Kaiser-Systems.png	archive	unreferenced-after-migration
Media/Sponsoring/Logo-Losch.png	archive	unreferenced-after-migration
Media/Sponsoring/Logo-Mansfeld-Black-www.png	archive	unreferenced-after-migration
Media/Sponsoring/Mako-Logo.png	archive	unreferenced-after-migration
Media/Sponsoring/Mako-breit.png	archive	unreferenced-after-migration
Media/Sponsoring/Mansfeld-Immobiliere-InternetSite.png	archive	unreferenced-after-migration
Media/Sponsoring/MansfeldImmobiliere-laang-new.psd	archive	unreferenced-after-migration
Media/Sponsoring/Mixvoip-by-Emios.png	archive	unreferenced-after-migration
Media/Sponsoring/Mixvoip-logo-RGB.png	archive	unreferenced-after-migration
Media/Sponsoring/Mixvoip.jpeg	archive	unreferenced-after-migration
Media/Sponsoring/Mixvoipa.png	archive	unreferenced-after-migration
Media/Sponsoring/Opti-vue-1.png	archive	unreferenced-after-migration
Media/Sponsoring/Ostergaards.png	archive	unreferenced-after-migration
Media/Sponsoring/Peterssports.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Peterssports_2x.jpg	archive	unreferenced-after-migration
Media/Sponsoring/REIFF-MASUTT.png	archive	unreferenced-after-migration
Media/Sponsoring/Raiffeisen.png	archive	unreferenced-after-migration
Media/Sponsoring/Rinnen.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Rollingertec.jpg	archive	unreferenced-after-migration
Media/Sponsoring/SafetyConcept-2025.png	archive	unreferenced-after-migration
Media/Sponsoring/SafetyConcept-Kopie-2.png	archive	unreferenced-after-migration
Media/Sponsoring/SafetyConcept-new-2025.png	archive	unreferenced-after-migration
Media/Sponsoring/Sales-Lentz-20211-scaled.png	archive	unreferenced-after-migration
Media/Sponsoring/Solid.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-mat-adresse-13022026-2.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-mat-adresse-13022026-2.png	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-mat-adresse-13022026.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-mat-adresse-13022026.png	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-ouni-adresse-13022026-2.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Sponsorslescht-all-Breifpabeier-ouni-adresse-13022026.jpg	archive	unreferenced-after-migration
Media/Sponsoring/Spuerkeess.png	archive	unreferenced-after-migration
Media/Sponsoring/Vigilzone.png	archive	unreferenced-after-migration
Media/Sponsoring/Viktor-SARL.png	archive	unreferenced-after-migration
Media/Sponsoring/Vitrerie-de-Mersch-new.png	archive	unreferenced-after-migration
Media/Sponsoring/Yamas.png	archive	unreferenced-after-migration
Media/Sponsoring/brand-naturata-new.png	archive	unreferenced-after-migration
Media/Sponsoring/brasseriedeluxembourg_logo-480x127-1.jpg	archive	unreferenced-after-migration
Media/Sponsoring/logo-La-Fontana-retina.png	archive	unreferenced-after-migration
Media/Statistik/header-men-transparent.png	archive	unreferenced-after-migration
